"OEC ID";"HS ID";"Product Level";"Product Name";"Revision"
"6293295";"29.32.95";"HS6";"Heterocyclic Compounds (Oxygen Hetero-Atom, Tetrahydrocannabinols, excl. Lactones)";"HS02,HS07,HS12,HS17,HS22"
"6293296";"29.32.96";"HS6";"Carbofuran";"HS22"
"6293299";"29.32.99";"HS6";"Various Oxygen Heterocyclic Compounds (Excluding Specific Ones)";"HS96,HS02,HS07,HS12,HS17,HS22"
"62933";"29.33";"HS4";"Nitrogen Heterocyclic Compounds";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293311";"29.33.11";"HS6";"Phenazone (antipyrin), derivatives";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293319";"29.33.19";"HS6";"Heterocyclic compounds with unfused pyrazole ring, ne";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293321";"29.33.21";"HS6";"Hydantoin, derivatives";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293329";"29.33.29";"HS6";"Heterocyclic compounds with unfused imidazole ring,ne";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293331";"29.33.31";"HS6";"Pyridine, salts";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293332";"29.33.32";"HS6";"Piperidine Salts (Unfused Pyridine Ring)";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293333";"29.33.33";"HS6";"Heterocyclic Compounds (Unfused Pyridine Ring, excl. Pyridine/Piperidine)";"HS02,HS07,HS12,HS17,HS22"
"6293334";"29.33.34";"HS6";"Fentanyls and derivatives";"HS22"
"6293335";"29.33.35";"HS6";"3-Quinuclidinol";"HS22"
"6293336";"29.33.36";"HS6";"4-anilino-N-phenethylpiperidine (ANPP)";"HS22"
"6293337";"29.33.37";"HS6";"N-phenethyl-4-piperdone (NPP)";"HS22"
"6293339";"29.33.39";"HS6";"Heterocyclic compounds with unfused pyridine ring,nes";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293340";"29.33.40";"HS6";"Heterocyc cmpounds, quinoline ring not further fused";"HS92,HS96"
"6293341";"29.33.41";"HS6";"Heterocyclic Compounds (Quinoline/Isoquinoline Ring, Levorphanol & Salts)";"HS02,HS07,HS12,HS17,HS22"
"6293349";"29.33.49";"HS6";"Heterocyclic Compounds with Quinoline/Isoquinoline Rings (Excl. Levorphanol & Salts)";"HS02,HS07,HS12,HS17,HS22"
"6293351";"29.33.51";"HS6";"Barbituric acid, derivatives, salts thereof";"HS92,HS96"
"6293352";"29.33.52";"HS6";"Heterocyclic Compounds (Pyrimidine/Piperazine Ring, Malonylurea & Salts)";"HS02,HS07,HS12,HS17,HS22"
"6293353";"29.33.53";"HS6";"Barbiturates and derivatives: salts of allobarbital, amobarbital, barbital, and others (INN)";"HS02,HS07,HS12,HS17,HS22"
"6293354";"29.33.54";"HS6";"Heterocyclic Compounds (Pyrimidine/Piperazine Ring, Malonylurea Derivatives, n.e.c.)";"HS02,HS07,HS12,HS17,HS22"
