DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS,vat_rate,amount_with_vat
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-03,91.7,ip,,19.0,109.123
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-04,86.3,ip,,19.0,102.69699999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-05,86.1,ip,,19.0,102.45899999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-06,85.8,ip,,7.0,91.806
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-07,86.4,ip,,19.0,102.816
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-08,84.0,ip,,19.0,99.96
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-09,87.7,ip,,19.0,104.363
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-10,91.2,ip,,19.0,108.52799999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-11,93.6,ip,,19.0,111.38399999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-12,95.8,ip,,19.0,114.002
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-01,77.8,ip,,19.0,92.582
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-02,81.1,ip,,19.0,96.50899999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-03,94.5,ip,,19.0,112.455
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-04,90.6,ip,,7.0,96.942
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-05,91.3,ip,,19.0,108.64699999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-06,90.1,ip,,7.0,96.407
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-07,89.6,ip,,19.0,106.624
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-08,87.3,ip,,19.0,103.88699999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-09,92.8,ip,,19.0,110.43199999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-10,97.0,ip,,19.0,115.42999999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-11,98.1,ip,,7.0,104.967
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2000-12,97.2,ip,,19.0,115.66799999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-01,81.6,ip,,19.0,97.10399999999998
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-02,81.9,ip,,19.0,97.461
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-03,95.6,ip,,7.0,102.292
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-04,91.6,ip,,19.0,109.00399999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-05,92.2,ip,,7.0,98.65400000000001
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-06,91.4,ip,,19.0,108.766
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-07,89.9,ip,,19.0,106.98100000000001
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-08,87.3,ip,,19.0,103.88699999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-09,91.4,ip,,7.0,97.79800000000002
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-10,93.5,ip,,19.0,111.265
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-11,94.2,ip,,19.0,112.098
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2001-12,94.8,ip,,19.0,112.812
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2002-01,78.2,ip,,7.0,83.674
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2002-02,78.3,ip,,19.0,93.17699999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2002-03,92.9,ip,,19.0,110.551
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,2002-04,89.5,ip,,19.0,106.505
